model	nudge	effect	mode	setting	bot	top	source
gemma4_12b	phrasing_L20_O10_five7	five7	budget	nothink	0.000	0.020	native-nothink-extreme(src=gemma4_12b)
gemma4_12b	phrasing_L20_O10_five7	five7	budget	B256	0.043	0.000	native-nothink-extreme(src=gemma4_12b)
gemma4_12b	phrasing_L20_O10_five7	five7	budget	B1024	0.000	0.000	native-nothink-extreme(src=gemma4_12b)
gemma4_12b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.438	1.000	native-nothink-extreme(src=gemma4_12b)
gemma4_12b	phrasing_L20_O10_trolley	trolley	budget	B256	1.000	0.975	native-nothink-extreme(src=gemma4_12b)
gemma4_12b	phrasing_L20_O10_trolley	trolley	budget	B1024	1.000	1.000	native-nothink-extreme(src=gemma4_12b)
gemma4_e4b	phrasing_L20_O10_five7	five7	budget	nothink	0.107	0.706	native-nothink-extreme(src=gemma4_e4b)
gemma4_e4b	phrasing_L20_O10_five7	five7	budget	B256	0.104	0.229	native-nothink-extreme(src=gemma4_e4b)
gemma4_e4b	phrasing_L20_O10_five7	five7	budget	B1024	0.042	0.208	native-nothink-extreme(src=gemma4_e4b)
gemma4_e4b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.014	0.992	native-nothink-extreme(src=gemma4_e4b)
gemma4_e4b	phrasing_L20_O10_trolley	trolley	budget	B256	1.000	1.000	native-nothink-extreme(src=gemma4_e4b)
gemma4_e4b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.833	0.917	native-nothink-extreme(src=gemma4_e4b)
qwen35_27b	phrasing_L20_O10_five7	five7	budget	nothink	0.165	0.500	native-nothink-extreme(src=qwen35_27b)
qwen35_27b	phrasing_L20_O10_five7	five7	budget	B256	0.021	0.250	native-nothink-extreme(src=qwen35_27b)
qwen35_27b	phrasing_L20_O10_five7	five7	budget	B512	0.000	0.042	native-nothink-extreme(src=qwen35_27b)
qwen35_27b	phrasing_L20_O10_five7	five7	budget	B1024	0.000	0.021	native-nothink-extreme(src=qwen35_27b)
qwen35_27b	phrasing_L20_O10_five7	five7	budget	B2048	0.000	0.021	native-nothink-extreme(src=qwen35_27b)
qwen35_27b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.165	0.531	native-nothink-extreme(src=qwen35_27b)
qwen35_27b	phrasing_L20_O10_trolley	trolley	budget	B256	0.354	0.771	native-nothink-extreme(src=qwen35_27b)
qwen35_27b	phrasing_L20_O10_trolley	trolley	budget	B512	0.479	0.688	native-nothink-extreme(src=qwen35_27b)
qwen35_27b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.625	0.792	native-nothink-extreme(src=qwen35_27b)
qwen35_27b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.667	0.792	native-nothink-extreme(src=qwen35_27b)
qwen35_4b	phrasing_L20_O10_five7	five7	budget	nothink	0.378	0.798	native-nothink-extreme(src=qwen35_4b)
qwen35_4b	phrasing_L20_O10_five7	five7	budget	B256	0.500	0.854	native-nothink-extreme(src=qwen35_4b)
qwen35_4b	phrasing_L20_O10_five7	five7	budget	B512	0.542	0.917	native-nothink-extreme(src=qwen35_4b)
qwen35_4b	phrasing_L20_O10_five7	five7	budget	B1024	0.542	0.958	native-nothink-extreme(src=qwen35_4b)
qwen35_4b	phrasing_L20_O10_five7	five7	budget	B2048	0.458	0.958	native-nothink-extreme(src=qwen35_4b)
qwen35_4b	phrasing_L20_O10_five7	five7	budget	B256	0.521	0.833	native-nothink-extreme(src=qwen35_4b)
qwen35_4b	phrasing_L20_O10_five7	five7	budget	B1024	0.542	0.958	native-nothink-extreme(src=qwen35_4b)
qwen35_4b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.378	0.731	native-nothink-extreme(src=qwen35_4b)
qwen35_4b	phrasing_L20_O10_trolley	trolley	budget	B256	0.708	0.896	native-nothink-extreme(src=qwen35_4b)
